city,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
alameda,74680,207,1,15,94,97,"1,898",315,"1,323",260,15
american canyon,19683,44,0,3,19,22,527,126,356,45,1
atherton,6995,3,0,0,0,3,135,11,121,3,2
belmont,26139,16,0,2,6,8,454,98,308,48,2
belvedere,2092,0,0,0,0,0,18,5,13,0,0
berkeley,113903,482,1,19,340,122,"5,064",976,"3,460",628,25
brentwood,52086,118,0,12,46,60,"1,080",249,771,60,18
brisbane,4332,10,0,0,1,9,112,17,86,9,2
burlingame,29145,51,1,4,19,27,639,146,434,59,0
calistoga,5216,5,0,1,1,3,60,14,42,4,0
clayton,11025,8,0,1,2,5,101,25,73,3,2
cloverdale,8719,11,0,3,1,7,159,21,129,9,3
colma,1813,11,0,1,6,4,246,33,202,11,0
concord,123502,430,7,19,167,237,"3,803",898,"2,268",637,9
cupertino,58987,46,1,4,18,23,711,139,555,17,5
daly city,102312,184,1,14,59,110,"1,880",322,"1,308",250,15
dublin,46577,79,0,4,16,59,642,115,478,49,4
el cerrito,23826,104,0,3,58,43,923,228,587,108,1
emeryville,10199,208,0,2,73,133,"1,257",161,977,119,3
fairfax,7528,23,0,1,0,22,123,27,94,2,0
fairfield,106559,425,5,21,148,251,"2,974",572,"2,055",347,13
foster city,30926,26,1,1,2,22,395,107,255,33,8
gilroy,49395,204,1,8,65,130,"1,382",207,"1,006",169,7
hayward,145881,579,7,44,360,168,"3,782",988,"1,693","1,101",16
healdsburg,11386,14,0,4,2,8,242,54,187,1,0
livermore,81920,267,3,14,39,211,"1,776",366,"1,283",127,10
los altos,29317,6,0,2,2,2,269,55,203,11,2
los gatos,29759,42,0,4,17,21,627,122,464,41,7
menlo park,32402,49,2,2,20,25,617,196,386,35,2
millbrae,21785,28,0,1,9,18,403,105,264,34,3
mill valley,14066,13,0,2,4,7,182,55,118,9,0
morgan hill,38327,42,1,8,16,17,690,138,470,82,13
mountain view,74937,153,0,7,41,105,"1,353",167,"1,086",100,3
napa,77819,224,1,24,47,152,"1,615",344,"1,132",139,9
novato,52514,108,0,10,24,74,992,215,707,70,10
oakland,395317,6652,104,202,"3,365","2,981","20,904","5,170","9,429","6,305",138
orinda,17850,4,0,0,2,2,224,83,130,11,1
pacifica,37672,44,0,4,7,33,484,89,350,45,3
palo alto,65160,64,0,3,24,37,"1,248",286,923,39,12
petaluma,58622,140,0,11,23,106,884,131,693,60,9
pittsburg,64008,145,3,7,76,59,"1,905",554,915,436,2
redwood city,77718,177,0,26,63,88,"1,487",436,918,133,9
richmond,104920,1035,26,39,303,667,"4,546","1,651","1,533","1,362",32
rio vista,7447,45,0,0,2,43,161,58,89,14,4
rohnert park,41453,193,1,16,15,161,801,154,595,52,10
san anselmo,12481,25,0,1,3,21,247,77,163,7,1
san bruno,41597,87,1,8,33,45,917,109,674,134,4
san francisco,814701,5374,50,131,"3,088","2,105","32,886","4,408","24,304","4,174",161
san jose,957062,3206,39,226,"1,101","1,840","21,972","4,223","12,628","5,121",165
san leandro,85949,367,7,19,217,124,"3,205",671,"1,957",577,14
san mateo,98350,246,1,20,69,156,"1,732",306,"1,288",138,4
san rafael,58391,200,2,20,65,113,"1,473",309,"1,011",153,13
san ramon,72996,27,0,0,11,16,869,166,640,63,5
santa clara,117837,177,2,14,67,94,"2,933",409,"2,202",322,20
santa rosa,169788,682,5,58,134,485,"3,706",637,"2,794",275,16
saratoga,30278,16,1,1,2,12,214,62,139,13,9
sausalito,7144,6,0,1,1,4,196,52,139,5,0
sebastopol,7466,8,0,0,0,8,162,30,125,7,2
sonoma,10773,32,0,1,0,31,221,57,157,7,2
south san francisco,64380,138,1,13,47,77,"1,327",412,764,151,19
sunnyvale,141728,150,3,21,68,58,"1,970",393,"1,351",226,14
union city,70333,311,3,9,115,184,"1,787",459,"1,070",258,7
vallejo,117305,903,18,53,435,397,"5,244","2,468","1,716","1,060",46
walnut creek,64927,69,1,2,14,52,"2,024",422,"1,472",130,6
winters,6702,11,0,1,2,8,103,25,73,5,2
